id;objetcampagne;description;debutcampagne;fincampagne;debutreelcamp;finreelcamp;isopen
1;Salad Architecte;Checking Autriche Awesome;2022-09-01T08:40:22;2022-08-31T23:18:25;2022-09-01T11:24:07;2022-09-01T12:31:35;true
2;Cheese c;hacking Saudi Card;2022-09-01T10:05:47;2022-08-31T16:10:30;2022-08-31T22:57:39;2022-08-31T20:05:19;false
3;override Business-focused Salomon;parsing Developpeur Sleek;2022-09-01T05:05:15;2022-08-31T18:34:16;2022-09-01T10:03:12;2022-09-01T12:29:47;true
4;c Customizable;cross-platform SMTP;2022-09-01T04:52:57;2022-08-31T20:15:04;2022-09-01T01:32:24;2022-09-01T05:25:47;false
5;system JBOD;compressing;2022-08-31T20:29:58;2022-08-31T17:36:23;2022-08-31T18:09:13;2022-09-01T08:17:07;true
6;initiative payment;transmit;2022-09-01T09:29:16;2022-08-31T17:58:49;2022-08-31T23:49:55;2022-09-01T08:20:13;false
7;a violet;Fantastic even-keeled transition;2022-09-01T01:41:08;2022-09-01T01:31:56;2022-09-01T13:52:05;2022-08-31T17:32:19;false
8;Balanced Triple-buffered;Concrete deposit;2022-08-31T21:35:09;2022-09-01T02:50:23;2022-09-01T00:37:54;2022-09-01T12:46:28;false
9;Berkshire;optical b;2022-09-01T09:59:09;2022-08-31T17:26:04;2022-08-31T15:02:34;2022-09-01T06:54:29;true
10;Interface Ingenieur;plum;2022-09-01T05:16:22;2022-08-31T17:31:02;2022-08-31T18:50:41;2022-08-31T20:28:11;true
